Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
42-2019;4.155;59.322;4.146859999999999
42-2020;4.108;41.32000000000001;5.4924
43-2004;2.201;50.498000000000005;2.8648
43-2005;2.47;58.498000000000005;2.27227
43-2006;2.5380000000000003;57.732000000000006;2.14162
43-2007;2.448;83.72200000000001;1.79933
43-2008;2.443;64.404;2.26538
43-2009;2.529;77.238;1.72815
43-2010;2.55;82.248;1.70705
43-2011;2.709;111.33400000000002;1.7378900000000002
43-2012;2.655;108.27000000000001;2.0262599999999997
43-2013;2.864;107.822;2.1851700000000003
43-2014;2.904;85.582;2.4783999999999997
43-2015;3.445;46.81;3.9094900000000004
43-2016;3.657;48.95399999999999;3.14439
43-2017;3.858;58.576;3.24709
43-2018;4.505;78.232;3.70182
43-2019;4.159;60.748000000000005;4.06552
43-2020;4.092;40.998000000000005;5.59804
44-2004;2.1630000000000003;50.15;2.86831
44-2005;2.464;58.74399999999999;2.5562916666666666
44-2006;2.54;56.477999999999994;2.15644
44-2007;2.441;90.41600000000001;1.88844
44-2008;2.46;60.614;2.0561857142857143
44-2009;2.536;76.06800000000001;1.7421
44-2010;2.556;85.596;1.7872500000000002
44-2011;2.702;109.84;1.6510083333333334
44-2012;2.763;108.85;1.9455099999999999
44-2013;2.869;107.60999999999999;2.103392857142857
44-2014;2.9160000000000004;85.55799999999999;2.454725
44-2015;3.5010000000000003;47.15;3.88857
44-2016;3.668;44.626;3.6354583333333337
44-2017;3.844;61.038;3.20861
44-2018;4.435;74.088;3.53962
44-2019;4.157;60.226;3.9010285714285713
44-2020;4.126;37.906;5.71458
45-2004;2.175;45.784000000000006;3.0195
45-2005;2.457;56.788;2.2681125
45-2006;2.54;58.01800000000001;2.16276
45-2007;2.45;93.544;1.9186999999999999
45-2008;2.463;59.434000000000005;1.6763750000000002
45-2009;2.544;76.596;2.09673
45-2010;2.559;87.42999999999999;1.7146000000000001
45-2011;2.698;114.67999999999999;1.680675
